D-M-YYYY,Plate_Position,Plate,year,quarter,month,month_day,year_day
3-5-2000,A1,1,2000,Q2,May,3,123
10-5-2000,A2,1,2000,Q2,May,10,130
16-5-2000,A3,1,2000,Q2,May,16,136
19-5-2000,A4,1,2000,Q2,May,19,139
30-5-2000,A5,1,2000,Q2,May,30,150
1-6-2000,A6,1,2000,Q2,June,1,152
12-6-2000,A7,1,2000,Q2,June,5,156
5-6-2000,A8,1,2000,Q2,June,12,163
19-6-2000,A9,1,2000,Q2,June,19,170
23-6-2000,A10,1,2000,Q2,June,23,174
12-7-2000,A11,1,2000,Q3,July,12,193
17-7-2000,A12,1,2000,Q3,July,17,198
24-7-2000,B1,1,2000,Q3,July,24,205
27-7-2000,B2,1,2000,Q3,July,27,208
7-8-2000,B3,1,2000,Q3,August,7,219
11-8-2000,B4,1,2000,Q3,August,11,223
17-8-2000,B5,1,2000,Q3,August,17,229
28-8-2000,B6,1,2000,Q3,August,28,240
11-9-2000,B7,1,2000,Q3,September,5,248
5-9-2000,B8,1,2000,Q3,September,11,254
20-9-2000,B9,1,2000,Q3,September,20,263
25-9-2000,B10,1,2000,Q3,September,25,268
3-10-2000,B11,1,2000,Q4,October,3,276
28-4-2000,B12,1,2000,Q2,April,28,118
16-10-2000,C1,1,2000,Q4,October,16,289
19-10-2000,C2,1,2000,Q4,October,19,292
30-10-2000,C3,1,2000,Q4,October,30,303
6-11-2000,C4,1,2000,Q4,November,6,310
13-11-2000,C5,1,2000,Q4,November,13,317
17-11-2000,C6,1,2000,Q4,November,17,321
1-12-2000,C7,1,2000,Q4,November,28,332
28-11-2000,C8,1,2000,Q4,December,1,335
8-12-2000,C9,1,2000,Q4,December,8,342
15-12-2000,C10,1,2000,Q4,December,15,349
26-12-2000,C11,1,2000,Q4,December,26,360
2-1-2001,C12,1,2001,Q1,January,2,1
5-1-2001,D1,1,2001,Q1,January,5,4
NEG.CTL,D2,1,NA,NA,NA,NA,NA
17-1-2001,D3,1,2001,Q1,January,17,16
22-1-2001,D4,1,2001,Q1,January,22,21
25-1-2001,D5,1,2001,Q1,January,25,24
POS.CTL,D6,1,NA,NA,NA,NA,NA
7-2-2001,D7,1,2001,Q1,February,2,32
2-2-2001,D8,1,2001,Q1,February,7,37
12-2-2001,D9,1,2001,Q1,February,12,42
16-2-2001,D10,1,2001,Q1,February,16,46
21-2-2001,D11,1,2001,Q1,February,21,51
23-2-2001,D12,1,2001,Q1,February,23,53
27-2-2001,E1,1,2001,Q1,February,27,57
2-3-2001,E2,1,2001,Q1,March,2,60
5-3-2001,E3,1,2001,Q1,March,5,63
7-3-2001,E4,1,2001,Q1,March,7,65
9-3-2001,E5,1,2001,Q1,March,9,67
13-3-2001,E6,1,2001,Q1,March,13,71
15-3-2001,E7,1,2001,Q1,March,14,72
14-3-2001,E8,1,2001,Q1,March,15,73
16-3-2001,E9,1,2001,Q1,March,16,74
19-3-2001,E10,1,2001,Q1,March,19,77
20-3-2001,E11,1,2001,Q1,March,20,78
21-3-2001,E12,1,2001,Q1,March,21,79
22-3-2001,F1,1,2001,Q1,March,22,80
27-3-2001,F2,1,2001,Q1,March,27,85
28-3-2001,F3,1,2001,Q1,March,28,86
29-3-2001,F4,1,2001,Q1,March,29,87
18-4-2001,F5,1,2001,Q2,April,18,107
19-4-2001,F6,1,2001,Q2,April,19,108
25-4-2001,F7,1,2001,Q2,April,24,113
24-4-2001,F8,1,2001,Q2,April,25,114
26-4-2001,F9,1,2001,Q2,April,26,115
